Synsets,domain_x,norm,nrdirhypers_x,nrhypos_x,nrpartrels_normalised_x,depthfromtopsynset_normalised_x,glosslength_normalised_x,minwordlength_x,nroflemmas_x,polyscore_max_x,vote_x,raw_translation,raw_translation_lemmas,translation_set,number_tranlsation,number_sense,translation_lemmas_set,number_tranlsation_lemmas,number_sense_lemmas
Synset('uke.n.01'),music,uke,1,0,0.0,0.9921355111917723,0.4303133199567834,3,2,1,nb,army bomb bomb bomb destroy destroy destroy kill kill nuclear war war war ,army bomb bomb bomb destroy destroy destroy kill kill nuclear war war war music instrument instrument play string string wood wood ,"['destroy', 'nuclear', 'army', 'bomb', 'kill', 'war']",13,6,"['music', 'destroy', 'nuclear', 'army', 'bomb', 'instrument', 'wood', 'play', 'kill', 'war', 'string']",21,11
Synset('upright.n.02'),music,upright,1,1,0.0,0.9921355111917723,0.4809384164222873,7,2,5,nb,right right right right ,right right right right bible music instrument music play play ,['right'],4,1,"['music', 'bible', 'instrument', 'play', 'right']",10,5
Synset('viol.n.01'),music,viol,1,3,0.0,0.9921355111917723,0.9745331069609507,4,1,1,nb,violate music music play ,violate music music play ,"['music', 'violate', 'play']",4,3,"['music', 'violate', 'play']",4,3
Synset('violin.n.01'),music,violin,1,3,7.809523809523809,0.9921355111917723,2.265473066831301,6,2,8,b,violin string instrument music play string wood ,violin string instrument music play string wood band instrument brass brass brass instrument string string string wood ,"['music', 'violin', 'instrument', 'wood', 'play', 'string']",7,6,"['music', 'violin', 'band', 'instrument', 'wood', 'brass', 'play', 'string']",17,8
Synset('virginal.n.01'),music,virginal,1,0,0.0,1.0913490623109496,1.1517209445902146,8,2,4,nb,child girl girl girl young woman ,child girl girl girl young woman two girl girl marry woman ,"['child', 'young', 'woman', 'girl']",6,4,"['child', 'young', 'marry', 'girl', 'woman', 'two']",11,6
Synset('vox_angelica.n.01'),music,vox_angelica,1,0,0.0,1.0913490623109496,0.5948448834696712,12,2,1,nb,angel christ christ christ church christ christ god holy person religion ,angel christ christ christ church christ christ god holy person religion act animal animal animal bird bird bird dance dance dance feather fly fly feather fly,"['christ', 'god', 'person', 'church', 'religion', 'holy', 'angel']",11,7,"['christ', 'dance', 'bird', 'feather', 'act', 'god', 'person', 'church', 'fly', 'religion', 'animal', 'holy', 'angel']",26,13
Synset('vox_humana.n.01'),music,vox_humana,1,0,0.0,1.190562613430127,0.7973452693316869,10,1,1,nb,bible bible bible christ christ christ church christ christ language religion religion ,bible bible bible christ christ christ church christ christ language religion religion ,"['christ', 'language', 'bible', 'church', 'religion']",12,5,"['christ', 'language', 'bible', 'church', 'religion']",12,5
Synset('whistle.n.03'),music,whistle,1,0,0.0,0.8929219600725952,0.9365642846118228,7,1,11,b,act air animal animal annoy annoy annoy blow blow blow fun human intent loud noise noise noise,act air animal animal annoy annoy annoy blow blow blow fun human intent loud noise noise noise,"['blow', 'annoy', 'act', 'air', 'fun', 'intent', 'noise', 'animal', 'human', 'loud']",17,10,"['blow', 'annoy', 'act', 'air', 'fun', 'intent', 'noise', 'animal', 'human', 'loud']",17,10
Synset('wind_instrument.n.01'),music,wind_instrument,1,75,7.809523809523809,0.793708408953418,1.3668776045686062,4,2,15,nb,music instrument instrument play sound ,music instrument instrument play sound air blow cold cold wind ,"['music', 'instrument', 'sound', 'play']",5,4,"['music', 'blow', 'sound', 'air', 'instrument', 'play', 'wind', 'cold']",10,8
Synset('woodwind.n.01'),music,woodwind,1,26,7.809523809523809,0.8929219600725952,0.6581262540515511,4,3,8,nb,air orchestra brass brass brass instrument brass instrument wood ,air orchestra brass brass brass instrument brass instrument wood music instrument wood wood build build build hard hard heave heave material ,"['orchestra', 'air', 'instrument', 'wood', 'brass']",9,5,"['music', 'hard', 'orchestra', 'air', 'instrument', 'wood', 'brass', 'material', 'build', 'heave']",21,10
Synset('zither.n.01'),music,zither,1,1,0.0,0.8929219600725952,1.7718783762926378,6,3,2,b,music instrument music play string string wood ,music instrument music play string string wood act animal animal animal dance dance dance foot dance dance fast dance foot human moveband brass brass brass instrument brass instrument music play string string wood ,"['music', 'instrument', 'wood', 'play', 'string']",7,5,"['music', 'dance', 'foot', 'act', 'fast', 'moveband', 'instrument', 'wood', 'brass', 'play', 'animal', 'human', 'string']",33,13
Synset('baby_bed.n.01'),furn,baby_bed,1,4,0.0,0.8268625393494228,1.3808847210381736,8,2,1,nb,baby bed baby sleep sleep sleep ,baby bed baby sleep sleep sleep baby baby bed bed sleep sleep ,"['sleep', 'bed', 'baby']",6,3,"['sleep', 'bed', 'baby']",12,3
Synset('bedroom_furniture.n.01'),furn,bedroom_furniture,1,24,0.0,0.8268625393494228,0.7277635691957942,17,1,1,nb,bedroom furniture furniture furniture house house house room ,bedroom furniture furniture furniture house house house room ,"['bedroom', 'house', 'furniture', 'room']",8,4,"['bedroom', 'house', 'furniture', 'room']",8,4
Synset('bedstead.n.01'),furn,bedstead,1,0,15.634920634920634,0.8268625393494228,0.4105332954437813,8,2,1,nb,bed bed mattress mattress room sleep room ,bed bed mattress mattress room sleep room bed furniture furniture furniture house house house wood ,"['sleep', 'bed', 'room', 'mattress']",7,4,"['sleep', 'furniture', 'room', 'house', 'wood', 'mattress', 'bed']",15,7
Synset('bookcase.n.01'),furn,bookcase,1,0,3.126984126984127,0.8268625393494228,0.9516908212560388,8,1,1,b,bookcase book decorate decorate wall ,bookcase book decorate decorate wall ,"['bookcase', 'decorate', 'wall', 'book']",5,4,"['bookcase', 'decorate', 'wall', 'book']",5,4
Synset('buffet.n.01'),furn,buffet,1,2,9.38095238095238,0.8268625393494228,1.604811973098418,6,3,13,b,buffet eat food food serve table ,buffet eat food food serve table breakfast counter eat food kitchen kitchen kitchen metal plastic round round round square roundboard color color decorate decorate cover decorate furniture decorate end end,"['food', 'eat', 'buffet', 'table', 'serve']",6,5,"['counter', 'metal', 'furniture', 'color', 'food', 'cover', 'roundboard', 'eat', 'plastic', 'kitchen', 'decorate', 'square', 'end', 'buffet', 'table', 'breakfast', 'round', 'serve']",30,18
Synset('cabinet.n.01'),furn,cabinet,1,3,3.126984126984127,0.8268625393494228,1.884721038173724,7,1,4,b,house hold furniture store store wood ,house hold furniture store store wood ,"['hold', 'house', 'furniture', 'store', 'wood']",6,5,"['hold', 'house', 'furniture', 'store', 'wood']",6,5
Synset('chest_of_drawers.n.01'),furn,chest_of_drawers,1,3,6.253968253968254,0.8268625393494228,0.7837453822108553,5,4,5,b,chest chest chest chest drawer drawer hold drawer ,chest chest chest chest drawer drawer hold drawer chest chest chest chest hold heave heave large metal object round book office place place place work cloth cloth cloth color cover dress hang hang hang drawer hang metal organize organize drawer,"['hold', 'drawer', 'chest']",8,3,"['organize', 'hold', 'metal', 'chest', 'object', 'color', 'hang', 'cover', 'dress', 'drawer', 'office', 'cloth', 'work', 'place', 'round', 'heave', 'book', 'large']",40,18
Synset('dining-room_furniture.n.01'),furn,dining-room_furniture,1,1,0.0,0.8268625393494228,0.802405986549209,21,1,1,nb,cheap decorate decorate eat eat eat furniture furniture house house kitchen kitchen,cheap decorate decorate eat eat eat furniture furniture house house kitchen kitchen,"['house', 'furniture', 'eat', 'decorate', 'cheap', 'kitchen']",12,6,"['house', 'furniture', 'eat', 'decorate', 'cheap', 'kitchen']",12,6
Synset('etagere.n.01'),furn,etagere,1,0,3.126984126984127,0.8268625393494228,1.287581699346405,7,1,1,nb,age old age old person ,age old age old person ,"['person', 'old', 'age']",5,3,"['person', 'old', 'age']",5,3
Synset('hallstand.n.01'),furn,hallstand,1,0,0.0,0.8268625393494228,1.6607937861134792,9,1,1,nb,airplane stand stand stand up ,airplane stand stand stand up ,"['airplane', 'up', 'stand']",5,3,"['airplane', 'up', 'stand']",5,3
Synset('lamp.n.02'),furn,lamp,1,4,12.507936507936508,0.8268625393494228,1.1382968646395757,4,1,2,b,bright bulb bulb bulb light shine shine shine ,bright bulb bulb bulb light shine shine shine ,"['bright', 'bulb', 'shine', 'light']",8,4,"['bright', 'bulb', 'shine', 'light']",8,4
Synset('lawn_furniture.n.01'),furn,lawn_furniture,1,0,0.0,0.8268625393494228,0.9516908212560388,14,1,1,nb,chair furniture furniture furniture house house sit sit sit wood ,chair furniture furniture furniture house house sit sit sit wood ,"['sit', 'house', 'chair', 'furniture', 'wood']",10,5,"['sit', 'house', 'chair', 'furniture', 'wood']",10,5
Synset('nest.n.05'),furn,nest,1,0,0.0,0.8268625393494228,0.802405986549209,4,1,9,nb,build house nest nest nest ,build house nest nest nest ,"['build', 'house', 'nest']",5,3,"['build', 'house', 'nest']",5,3
Synset('office_furniture.n.01'),furn,office_furniture,1,4,0.0,0.8268625393494228,0.7277635691957942,16,1,1,nb,chair furniture furniture furniture office office furniture ,chair furniture furniture furniture office office furniture ,"['office', 'chair', 'furniture']",7,3,"['office', 'chair', 'furniture']",7,3
Synset('sectional.n.01'),furn,sectional,1,0,0.0,0.8268625393494228,1.604811973098418,9,1,4,nb,area section section whole whole ,area section section whole whole ,"['section', 'area', 'whole']",5,3,"['section', 'area', 'whole']",5,3
Synset('sheraton.n.01'),furn,sheraton,1,0,0.0,0.8268625393494228,2.2765937292791514,8,1,1,nb,christ christ christ christ church church church temple ,hotel hotel room place place room stay ,"['christ', 'temple', 'church']",8,3,"['hotel', 'room', 'stay', 'place']",7,4
Synset('sleeper.n.07'),furn,sleeper,1,0,0.0,0.8268625393494228,0.989012029932746,7,1,9,nb,sleep sleep person sleep sleep ,sleep sleep person sleep sleep ,"['sleep', 'person']",5,2,"['sleep', 'person']",5,2
Synset('table.n.02'),furn,table,1,50,9.38095238095238,0.8268625393494228,1.86606043383537,5,1,8,b,book color color decorate decorate furniture decorate eat eat eat kitchen kitchen,book color color decorate decorate furniture decorate eat eat eat kitchen kitchen,"['furniture', 'color', 'eat', 'decorate', 'kitchen', 'book']",12,6,"['furniture', 'color', 'eat', 'decorate', 'kitchen', 'book']",12,6
Synset('table.n.03'),furn,table,1,6,0.0,0.8268625393494228,1.1382968646395757,5,1,8,nb,book color color decorate decorate furniture decorate eat eat eat kitchen kitchen,book color color decorate decorate furniture decorate eat eat eat kitchen kitchen,"['furniture', 'color', 'eat', 'decorate', 'kitchen', 'book']",12,6,"['furniture', 'color', 'eat', 'decorate', 'kitchen', 'book']",12,6
Synset('wall_unit.n.01'),furn,wall_unit,1,1,0.0,0.8268625393494228,1.4928483470682958,9,1,1,nb,build build build house house unit wall ,build build build house house unit wall ,"['wall', 'build', 'unit', 'house']",7,4,"['wall', 'build', 'unit', 'house']",7,4
Synset('wardrobe.n.01'),furn,wardrobe,1,3,0.0,0.8268625393494228,2.164630103249029,5,3,23,b,bathroom cloth color decorate decorate hand hang hand heave heave metal plastic,bathroom cloth color decorate decorate hand hang hand heave heave metal plasticcloset organize organize organize store act animal animal animal arm arm body control control control change change control change control,"['metal', 'color', 'hand', 'hang', 'bathroom', 'plastic', 'decorate', 'cloth', 'heave']",12,9,"['organize', 'arm', 'metal', 'control', 'color', 'store', 'hand', 'hang', 'act', 'bathroom', 'plasticcloset', 'change', 'decorate', 'cloth', 'animal', 'body', 'heave']",31,17
Synset('washstand.n.01'),furn,washstand,1,0,0.0,0.8268625393494228,2.351236146632566,9,2,2,nb,act clean clean cloth cloth cloth clean cloth hand hold hand hold hold hand human,act clean clean cloth cloth cloth clean cloth hand hold hand hold hold hand humanact clean cloth clean cloth cloth clean hand hand human move move object object soap,"['hold', 'act', 'hand', 'cloth', 'human', 'clean']",15,6,"['hold', 'act', 'object', 'hand', 'move', 'cloth', 'soap', 'human', 'clean', 'humanact']",29,10
Synset('bassinet.n.01'),furn,bassinet,1,0,0.0,0.9302203567681008,0.8583877995642701,8,1,2,nb,baby bass baby crib baby cradle cradle cradle sleep sleep ,baby bass baby crib baby cradle cradle cradle sleep sleep ,"['sleep', 'crib', 'cradle', 'bass', 'baby']",10,5,"['sleep', 'crib', 'cradle', 'bass', 'baby']",10,5
Synset('carrycot.n.01'),furn,carrycot,1,0,3.126984126984127,0.9302203567681008,1.4368665340532347,8,1,1,nb,carry carry carry carry ,carry carry carry carry ,['carry'],4,1,['carry'],4,1
Synset('cradle.n.01'),furn,cradle,1,0,3.126984126984127,0.9302203567681008,0.6157999431656721,6,1,10,nb,baby baby cradle cradle cradle cloth cloth cloth dirt cloth dirt dirt dirt human human,baby baby cradle cradle cradle cloth cloth cloth dirt cloth dirt dirt dirt human human,"['cradle', 'cloth', 'human', 'dirt', 'baby']",15,5,"['cradle', 'cloth', 'human', 'dirt', 'baby']",15,5
Synset('bed.n.01'),furn,bed,1,23,9.38095238095238,0.9302203567681008,0.9516908212560388,3,1,13,b,bed bed mattress mattress sleep sleep ,bed bed mattress mattress sleep sleep ,"['sleep', 'bed', 'mattress']",6,3,"['sleep', 'bed', 'mattress']",6,3
Synset('credenza.n.01'),furn,credenza,1,0,0.0,0.9302203567681008,0.5411575258122573,8,2,2,nb,cassette decorate decorate eat food hand hold kitchen hand heave,cassette decorate decorate eat food hand hold kitchen hand heavebelief faith faith love respect respect ,"['cassette', 'hold', 'hand', 'food', 'eat', 'decorate', 'kitchen', 'heave']",10,8,"['cassette', 'respect', 'hold', 'faith', 'hand', 'food', 'eat', 'heavebelief', 'decorate', 'kitchen', 'love']",15,11
Synset('minibar.n.01'),furn,minibar,1,0,0.0,0.9302203567681008,0.8770484039026238,7,2,1,nb,alcohol drink drink drink hold hold hold metal plastic store ,alcohol drink drink drink hold hold hold metal plastic store act entertain entertain entertain music person perform sing show ,"['hold', 'metal', 'store', 'plastic', 'alcohol', 'drink']",10,6,"['music', 'entertain', 'hold', 'metal', 'act', 'store', 'perform', 'person', 'plastic', 'alcohol', 'sing', 'show', 'drink']",19,13
Synset('china_cabinet.n.01'),furn,china_cabinet,1,0,0.0,0.9302203567681008,1.287581699346405,12,2,1,nb,basket decorate cupboard cupboard decorate decorate hold hold hold,basket decorate cupboard cupboard decorate decorate hold hold holdcloset decorate decorate store store store ,"['basket', 'decorate', 'hold', 'cupboard']",9,4,"['basket', 'hold', 'store', 'holdcloset', 'cupboard', 'decorate']",14,6
Synset('dresser.n.05'),furn,dresser,1,0,0.0,0.9302203567681008,0.4105332954437813,7,1,5,nb,cloth cloth cloth color cover dress hang hang hang drawer hang metal organize organize drawer,cloth cloth cloth color cover dress hang hang hang drawer hang metal organize organize drawer,"['organize', 'metal', 'color', 'hang', 'dress', 'drawer', 'cloth', 'cover']",15,8,"['organize', 'metal', 'color', 'hang', 'dress', 'drawer', 'cloth', 'cover']",15,8
Synset('medicine_chest.n.01'),furn,medicine_chest,1,0,0.0,0.9302203567681008,0.802405986549209,14,2,1,nb,animal body body body heal heal heal medic physic physic physic sick ,animal body body body heal heal heal medic physic physic physic sick bathroom doctor hospital hospital medicine place place store ,"['medic', 'animal', 'body', 'physic', 'heal', 'sick']",12,6,"['store', 'medic', 'hospital', 'bathroom', 'animal', 'body', 'place', 'physic', 'medicine', 'heal', 'doctor', 'sick']",20,12
Synset('chiffonier.n.01'),furn,chiffonier,1,0,3.126984126984127,0.9302203567681008,0.5784787344889647,7,2,2,nb,cloth color fashion fashion dress silk silk silk ,cloth color fashion fashion dress silk silk silk bathroom clean toilet flush toilet wash water ,"['color', 'dress', 'fashion', 'cloth', 'silk']",8,5,"['flush', 'color', 'water', 'dress', 'fashion', 'bathroom', 'cloth', 'toilet', 'wash', 'clean', 'silk']",15,11
Synset('highboy.n.01'),furn,highboy,1,0,0.0,0.9302203567681008,1.418205929714881,7,2,1,nb,boy drink drink drink high high high person soda ,boy drink drink drink high high high person soda boy drink drink drink tall tall drink ,"['boy', 'person', 'soda', 'high', 'drink']",9,5,"['boy', 'person', 'soda', 'high', 'tall', 'drink']",16,6
Synset('lowboy.n.01'),furn,lowboy,1,0,0.0,0.9302203567681008,1.119636260301222,6,1,1,nb,boy boy man man ,boy boy man man ,"['man', 'boy']",4,2,"['man', 'boy']",4,2
Synset('dining-room_table.n.01'),furn,dining-room_table,2,0,3.126984126984127,0.9302203567681008,1.3435635123614662,17,1,1,nb,breakfast eat eat eat food kitchen kitchen place table table ,breakfast eat eat eat food kitchen kitchen place table table ,"['food', 'table', 'eat', 'kitchen', 'place', 'breakfast']",10,6,"['food', 'table', 'eat', 'kitchen', 'place', 'breakfast']",10,6
Synset('floor_lamp.n.01'),furn,floor_lamp,1,0,0.0,0.9302203567681008,0.5784787344889647,10,1,1,nb,bright bulb ceiling ceiling ceiling light house light shine shine shine ,bright bulb ceiling ceiling ceiling light house light shine shine shine ,"['ceiling', 'house', 'shine', 'light', 'bright', 'bulb']",11,6,"['ceiling', 'house', 'shine', 'light', 'bright', 'bulb']",11,6
Synset('reading_lamp.n.01'),furn,reading_lamp,1,1,0.0,0.9302203567681008,0.7091029648574405,12,1,1,nb,book book light light read ,book book light light read ,"['read', 'book', 'light']",5,3,"['read', 'book', 'light']",5,3
Synset('table_lamp.n.01'),furn,table_lamp,1,0,0.0,0.9302203567681008,0.5038363171355499,10,1,1,nb,bright candle candle candle light lamp light table ,bright candle candle candle light lamp light table ,"['candle', 'light', 'bright', 'lamp', 'table']",8,5,"['candle', 'light', 'bright', 'lamp', 'table']",8,5
Synset('file.n.03'),furn,file,1,3,0.0,0.9302203567681008,1.306242303684759,4,3,9,nb,book document document paper paper file ,book document document paper paper file book book file drawer organize organize organize drawer drawer book file file drawer drawer drawer organize drawer ,"['paper', 'book', 'file', 'document']",6,4,"['organize', 'drawer', 'file', 'paper', 'book', 'document']",23,6
Synset('bench.n.01'),furn,bench,1,8,0.0,0.9302203567681008,0.6717817561807331,5,1,9,b,chair couch couch couch cushion couch cushion cushion cushion leg leg leg metal metal rest,chair couch couch couch cushion couch cushion cushion cushion leg leg leg metal metal rest,"['couch', 'metal', 'chair', 'cushion', 'rest', 'leg']",15,6,"['couch', 'metal', 'chair', 'cushion', 'rest', 'leg']",15,6
Synset('bench.n.07'),furn,bench,1,0,3.126984126984127,0.9302203567681008,0.7464241735341479,5,1,9,nb,chair couch couch couch cushion couch cushion cushion cushion leg leg leg metal metal rest,chair couch couch couch cushion couch cushion cushion cushion leg leg leg metal metal rest,"['couch', 'metal', 'chair', 'cushion', 'rest', 'leg']",15,6,"['couch', 'metal', 'chair', 'cushion', 'rest', 'leg']",15,6
Synset('box.n.08'),furn,box,1,0,3.126984126984127,0.9302203567681008,0.5224969214739036,3,2,13,nb,box box hold metal plastic store ,box box hold metal plastic store box box seat seat seat ,"['hold', 'metal', 'store', 'plastic', 'box']",6,5,"['hold', 'metal', 'store', 'plastic', 'seat', 'box']",11,6
Synset('box_seat.n.01'),furn,box_seat,1,0,6.253968253968254,0.9302203567681008,0.8397271952259164,8,1,2,nb,box box seat seat seat ,box box seat seat seat ,"['box', 'seat']",5,2,"['box', 'seat']",5,2
Synset('chair.n.01'),furn,chair,1,35,6.253968253968254,0.9302203567681008,0.933030216917685,5,1,7,b,chair couch couch couch cushion cushion cushion comfort cushion comfort comfort cushion cushion leg leg,chair couch couch couch cushion cushion cushion comfort cushion comfort comfort cushion cushion leg leg,"['couch', 'chair', 'comfort', 'cushion', 'leg']",15,5,"['couch', 'chair', 'comfort', 'cushion', 'leg']",15,5
Synset('sofa.n.01'),furn,sofa,1,9,0.0,0.9302203567681008,0.8210665908875627,4,3,4,b,blanket couch couch comfort comfort comfort couch comfort couch cushion cushion comfort cushion cushion,blanket couch couch comfort comfort comfort couch comfort couch cushion cushion comfort cushion cushionbed couch couch couch comfort comfort comfort relax relax relax sleep bar bar bar bar eat eat food place place sit social ,"['couch', 'blanket', 'comfort', 'cushion']",14,4,"['couch', 'sleep', 'sit', 'blanket', 'food', 'comfort', 'cushionbed', 'cushion', 'eat', 'social', 'place', 'bar', 'relax']",35,13
Synset('stool.n.01'),furn,stool,1,7,0.0,0.9302203567681008,0.6717817561807331,5,1,8,b,chair seat sit sit up ,chair seat sit sit up ,"['sit', 'up', 'chair', 'seat']",5,4,"['sit', 'up', 'chair', 'seat']",5,4
Synset('toilet_seat.n.01'),furn,toilet_seat,1,0,3.126984126984127,0.9302203567681008,0.5038363171355499,11,1,1,b,bathroom seat toilet seat seat ,bathroom seat toilet seat seat ,"['bathroom', 'seat', 'toilet']",5,3,"['bathroom', 'seat', 'toilet']",5,3
Synset('breakfast_table.n.01'),furn,breakfast_table,1,0,0.0,0.9302203567681008,0.5971393388273184,15,1,1,nb,breakfast breakfast eat food food place table ,breakfast breakfast eat food food place table ,"['food', 'eat', 'table', 'breakfast', 'place']",7,5,"['food', 'eat', 'table', 'breakfast', 'place']",7,5
Synset('card_table.n.01'),furn,card_table,1,0,0.0,0.9302203567681008,0.7837453822108553,10,1,2,nb,card card game game game play ,card card game game game play ,"['game', 'card', 'play']",6,3,"['game', 'card', 'play']",6,3
Synset('card_table.n.02'),furn,card_table,1,0,0.0,0.9302203567681008,1.1942786776546368,10,1,2,nb,card card game game game play ,card card game game game play ,"['game', 'card', 'play']",6,3,"['game', 'card', 'play']",6,3
Synset('coffee_table.n.01'),furn,coffee_table,1,0,0.0,0.9302203567681008,1.3808847210381736,12,2,1,nb,breakfast coffee drink drink drink coffee ,breakfast coffee drink drink drink coffee alcohol drink drink drink glass drink glass glass glass ,"['breakfast', 'coffee', 'drink']",6,3,"['alcohol', 'coffee', 'breakfast', 'glass', 'drink']",15,5
Synset('conference_table.n.01'),furn,conference_table,1,0,3.126984126984127,0.9302203567681008,1.0823150516245146,13,3,1,nb,conference group group group person place table ,conference group group group person place table constituency council chair person place place constituency council govern office person place place ,"['group', 'person', 'conference', 'table', 'place']",7,5,"['council', 'group', 'chair', 'person', 'conference', 'office', 'table', 'constituency', 'govern', 'place']",20,10
Synset('console_table.n.01'),furn,console_table,1,0,0.0,0.9302203567681008,1.2129392819929905,7,2,5,nb,console game console game game game ,console game console game game game computer control control control device device game game game large monitor play play play ,"['game', 'console']",6,2,"['control', 'monitor', 'play', 'game', 'console', 'computer', 'device', 'large']",20,8
Synset('desk.n.01'),furn,desk,1,3,3.126984126984127,0.9302203567681008,1.5861513687600644,4,1,1,b,computer desk chair chair office office desk ,computer desk chair chair office office desk ,"['desk', 'office', 'computer', 'chair']",7,4,"['desk', 'office', 'computer', 'chair']",7,4
Synset('dressing_table.n.01'),furn,dressing_table,1,0,0.0,0.9302203567681008,1.5115089514066495,6,4,5,nb,dish cloth cloth color food kitchen kitchen plastic round round table wash ,dish cloth cloth color food kitchen kitchen plastic round round table wash cloth cloth cloth color cover dress hang hang hang drawer hang metal organize organize draweraccessorize good money money person rich bathroom seat seat toilet seat ,"['color', 'food', 'dish', 'plastic', 'cloth', 'kitchen', 'table', 'round', 'wash']",12,9,"['money', 'drawer', 'round', 'draweraccessorize', 'food', 'person', 'plastic', 'organize', 'color', 'dress', 'dish', 'cloth', 'seat', 'table', 'rich', 'cover', 'good', 'metal', 'hang', 'bathroom', 'kitchen', 'toilet', 'wash']",37,23
Synset('drop-leaf_table.n.01'),furn,drop-leaf_table,1,1,3.126984126984127,0.9302203567681008,0.9516908212560388,15,1,1,nb,break drop leaf flat flat flat wood ,break drop leaf flat flat flat wood ,"['break', 'wood', 'leaf', 'flat', 'drop']",7,5,"['break', 'wood', 'leaf', 'flat', 'drop']",7,5
Synset('gaming_table.n.01'),furn,gaming_table,1,0,0.0,0.9302203567681008,1.474187742729942,12,1,1,nb,board game game game play table ,board game game game play table ,"['game', 'board', 'play', 'table']",6,4,"['game', 'board', 'play', 'table']",6,4
Synset('gueridon.n.01'),furn,gueridon,1,0,0.0,0.9302203567681008,0.3545514824287202,8,1,1,nb,bald god god god jesus myth myth person ,bald god god god jesus myth myth person ,"['bald', 'myth', 'god', 'person', 'jesus']",8,5,"['bald', 'myth', 'god', 'person', 'jesus']",8,5
Synset('kitchen_table.n.01'),furn,kitchen_table,1,0,0.0,0.9302203567681008,0.4105332954437813,13,1,1,nb,breakfast eat eat food kitchen kitchen kitchen place table ,breakfast eat eat food kitchen kitchen kitchen place table ,"['food', 'table', 'eat', 'kitchen', 'place', 'breakfast']",9,6,"['food', 'table', 'eat', 'kitchen', 'place', 'breakfast']",9,6
Synset('operating_table.n.01'),furn,operating_table,1,0,0.0,0.9302203567681008,1.1009756559628685,15,1,1,nb,act control control control computer control control device control device device hand hold human move,act control control control computer control control device control device device hand hold human move,"['hold', 'control', 'act', 'hand', 'move', 'device', 'computer', 'human']",15,8,"['hold', 'control', 'act', 'hand', 'move', 'device', 'computer', 'human']",15,8
Synset('parsons_table.n.01'),furn,parsons_table,1,0,0.0,0.9302203567681008,1.922042246850431,13,1,1,nb,breakfast eat food food round round round table ,breakfast eat food food kitchen metal plastic round round round table ,"['food', 'eat', 'table', 'breakfast', 'round']",8,5,"['metal', 'food', 'eat', 'plastic', 'kitchen', 'table', 'breakfast', 'round']",11,8
Synset('pedestal_table.n.01'),furn,pedestal_table,1,1,0.0,0.9302203567681008,0.8210665908875627,14,1,1,nb,act carry carry carry foot foot foot forward foot forward leg leg leg move move,act carry carry carry foot foot foot forward foot forward leg leg leg move move,"['foot', 'act', 'move', 'leg', 'carry', 'forward']",15,6,"['foot', 'act', 'move', 'leg', 'carry', 'forward']",15,6
Synset('pier_table.n.01'),furn,pier_table,1,0,0.0,0.9302203567681008,0.6344605475040258,10,1,1,nb,boat dock dock dock large metal metal place place wood wood ,boat dock dock dock large metal metal place place wood wood ,"['metal', 'boat', 'wood', 'place', 'large', 'dock']",11,6,"['metal', 'boat', 'wood', 'place', 'large', 'dock']",11,6
Synset('platen.n.01'),furn,platen,1,0,0.0,0.9302203567681008,0.5224969214739036,6,1,3,nb,cloth cover flat flat flat kitchen flat flat wood ,cloth cover flat flat flat kitchen flat flat wood ,"['wood', 'cloth', 'kitchen', 'flat', 'cover']",9,5,"['wood', 'cloth', 'kitchen', 'flat', 'cover']",9,5
Synset('pool_table.n.01'),furn,pool_table,2,0,6.253968253968254,0.8268625393494228,1.2315998863313442,10,3,1,b,bathroom bathroom bathtub bathtub color color decorate decorate color,bathroom bathroom bathtub bathtub color color decorate decorate colorball game game metal plastic round table cheap craze craze game ,"['decorate', 'bathtub', 'bathroom', 'color']",9,4,"['metal', 'color', 'bathtub', 'craze', 'bathroom', 'game', 'plastic', 'decorate', 'cheap', 'table', 'round', 'colorball']",19,12
Synset('table-tennis_table.n.01'),furn,table-tennis_table,1,0,0.0,0.9302203567681008,0.6904423605190868,14,3,1,b,basketball court court court game play round tennis ,basketball court court court game play round tennis ball game game plastic plastic round table ball game game plastic plastic round table ,"['basketball', 'tennis', 'play', 'game', 'court', 'round']",8,6,"['basketball', 'tennis', 'play', 'game', 'plastic', 'court', 'ball', 'table', 'round']",22,9
Synset('tea_table.n.01'),furn,tea_table,1,0,0.0,0.9302203567681008,0.7277635691957942,9,1,1,nb,breakfast drink drink cup cup cup eat eat eat food good good green grow,breakfast drink drink cup cup cup eat eat eat food good good green grow,"['good', 'grow', 'cup', 'food', 'eat', 'green', 'breakfast', 'drink']",14,8,"['good', 'grow', 'cup', 'food', 'eat', 'green', 'breakfast', 'drink']",14,8
Synset('trestle_table.n.01'),furn,trestle_table,1,0,3.126984126984127,0.9302203567681008,0.5411575258122573,13,1,1,nb,build support support support wood ,build support support support wood ,"['support', 'build', 'wood']",5,3,"['support', 'build', 'wood']",5,3
Synset('worktable.n.01'),furn,worktable,1,3,0.0,0.9302203567681008,0.7091029648574405,9,2,1,nb,breakfast eat eat food kitchen kitchen table table wood ,breakfast eat eat food kitchen kitchen table table wood work desk work table work ,"['food', 'wood', 'eat', 'kitchen', 'table', 'breakfast']",9,6,"['desk', 'food', 'wood', 'eat', 'kitchen', 'work', 'table', 'breakfast']",14,8
